date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:20	165548/165548	---M--	200	added ('OK')	font/ttf	date:Mon,%2008%20Jan%202018%2008:14:10%20GMT	https://iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://iscorecv.com/lib/font-awesome/css/font-awesome.min.css)
19:45:23	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2009%20Jan%202018%2006:49:14%20GMT	https://iscorecv.com/lib/ionicons/fonts/ionicons.eot?v=2.0.0	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/ionicons/fonts/ionicons28b5.eot	(from https://iscorecv.com/lib/ionicons/css/ionicons.min.css)
19:45:26	67904/67904	---M--	200	added ('OK')	font/woff	date:Tue,%2009%20Jan%202018%2006:49:14%20GMT	https://iscorecv.com/lib/ionicons/fonts/ionicons.woff?v=2.0.0	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/ionicons/fonts/ionicons28b5.woff	(from https://iscorecv.com/lib/ionicons/css/ionicons.min.css)
19:45:28	4976/4976	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202017%2018:43:12%20GMT	https://iscorecv.com/lib/owlcarousel/assets/owl.video.play.png	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/owlcarousel/assets/owl.video.play.png	(from https://iscorecv.com/lib/owlcarousel/assets/owl.carousel.min.css)
19:45:30	188508/188508	---M--	200	added ('OK')	font/ttf	date:Tue,%2009%20Jan%202018%2006:49:14%20GMT	https://iscorecv.com/lib/ionicons/fonts/ionicons.ttf?v=2.0.0	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/ionicons/fonts/ionicons28b5.ttf	(from https://iscorecv.com/lib/ionicons/css/ionicons.min.css)
19:45:31	8476/8476	---M--	200	added ('OK')	image/gif	date:Sun,%2026%20Nov%202017%2005:18:24%20GMT	https://iscorecv.com/lib/lightbox/images/loading.gif	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/lightbox/images/loading.gif	(from https://iscorecv.com/lib/lightbox/css/lightbox.min.css)
19:45:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202019%2016:45:17%20GMT	https://iscorecv.com/img/about-bg.jpg	C:/My%20Web%20Sites/jobfair/iscorecv.com/img/about-bg.2b.delayed	(from https://iscorecv.com/css/style.css)
19:45:34	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202019%2016:45:18%20GMT	https://iscorecv.com/img/call-to-action-bg.jpg	C:/My%20Web%20Sites/jobfair/iscorecv.com/img/call-to-action-bg.2c.delayed	(from https://iscorecv.com/css/style.css)
19:45:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202019%2016:45:19%20GMT	https://iscorecv.com/img/facts-bg.jpg	C:/My%20Web%20Sites/jobfair/iscorecv.com/img/facts-bg.2d.delayed	(from https://iscorecv.com/css/style.css)
19:45:38	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2008%20Jan%202018%2008:14:10%20GMT	https://iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://iscorecv.com/lib/font-awesome/css/font-awesome.min.css)
19:45:41	333834/333834	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2009%20Jan%202018%2006:49:14%20GMT	https://iscorecv.com/lib/ionicons/fonts/ionicons.svg?v=2.0.0	C:/My%20Web%20Sites/jobfair/iscorecv.com/lib/ionicons/fonts/ionicons28b5.svg	(from https://iscorecv.com/lib/ionicons/css/ionicons.min.css)
